Player,Pos,Team,APY,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,IAY/PA,Bad%,Prss%,OnTgt%
Chuba Hubbard,RB,CAR,"$8,300,000",,,,,,,,,,,,,,,,,,,
Joe Alt,RT,LAC,"$8,290,236",,,,,,,,,,,,,,,,,,,
Kyle Pitts,TE,ATL,"$8,227,624",,,,,,,,,,,,,,,,,,,
Isaac Seumalo,LG,PIT,"$8,000,000",,,,,,,,,,,,,,,,,,,
D'Andre Swift,RB,CHI,"$8,000,000",,,,,,,,,,,,,,,,,,,
Ezra Cleveland,LG,JAX,"$8,000,000",,,,,,,,,,,,,,,,,,,
Morgan Moses,RT,NE,"$8,000,000",,,,,,,,,,,,,,,,,,,
Curtis Samuel,WR,BUF,"$8,000,000",,,,,,,,,,,,,,,,,,,
James Daniels,RG,MIA,"$8,000,000",,,,,,,,,,,,,,,,,,,
Marcus Mariota,QB,WAS,"$8,000,000",2,213.0,4.7,3.3,44.3,160.0,87.0,51.8,6.58,6.05,0.01,-3.06,6.7,10.93,2.72,10,16.7,19.5,74.8
Braden Smith,RT,IND,"$8,000,000",,,,,,,,,,,,,,,,,,,
Armand Membou,RT,NYJ,"$7,978,276",,,,,,,,,,,,,,,,,,,
Josh Oliver,TE,MIN,"$7,750,000",,,,,,,,,,,,,,,,,,,
Colby Parkinson,TE,LAR,"$7,500,000",,,,,,,,,,,,,,,,,,,
Connor McGovern,LG,BUF,"$7,450,000",,,,,,,,,,,,,,,,,,,
Ben Bredeson,LG,TB,"$7,333,333",,,,,,,,,,,,,,,,,,,
Malik Nabers,WR,NYG,"$7,301,938",,,,,,,,,,,,,,,,,,,
Trey Pipkins,RT,LAC,"$7,250,000",,,,,,,,,,,,,,,,,,,
Tony Pollard,RB,TEN,"$7,250,000",,,,,,,,,,,,,,,,,,,
Paris Johnson Jr.,RT,ARI,"$7,013,115",,,,,,,,,,,,,,,,,,,
Marquise Brown,WR,KC,"$7,000,000",,,,,,,,,,,,,,,,,,,
Aaron Brewer,C,MIA,"$7,000,000",,,,,,,,,,,,,,,,,,,
Jermaine Eluemunor,LT,NYG,"$7,000,000",,,,,,,,,,,,,,,,,,,
Davis Mills,QB,HOU,"$7,000,000",3,150.0,3.3,0.7,40.5,175.8,83.7,45.2,5.06,5.53,-0.07,-10.81,-0.55,9.01,2.45,8.6,19.2,17,69.9
Robert Hainsey,C,JAX,"$7,000,000",,,,,,,,,,,,,,,,,,,
John Bates,TE,WAS,"$7,000,000",,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,WR,CAR,"$6,982,598",,,,,,,,,,,,,,,,,,,
Kelvin Banks Jr.,LT,NO,"$6,932,812",,,,,,,,,,,,,,,,,,,
Ikem Ekwonu,LT,CAR,"$6,892,013",,,,,,,,,,,,,,,,,,,
Graham Glasgow,RG,DET,"$6,666,667",,,,,,,,,,,,,,,,,,,
Colston Loveland,TE,CHI,"$6,659,002",,,,,,,,,,,,,,,,,,,
J.C. Latham,LT,TEN,"$6,511,297",,,,,,,,,,,,,,,,,,,
Zach Ertz,TE,WAS,"$6,250,000",,,,,,,,,,,,,,,,,,,
Jacoby Brissett,QB,ARI,"$6,250,000",1,386.0,4.7,1.6,47.5,246.2,95.6,44.3,7.43,6.18,0.01,-1.32,7.23,8.05,2.79,7.6,18.1,25.5,73.6
Evan Neal,RT,NYG,"$6,137,814",,,,,,,,,,,,,,,,,,,
Coleman Shelton,RG,LAR,"$6,000,000",,,,,,,,,,,,,,,,,,,
Hjalte Froholdt,C,ARI,"$6,000,000",,,,,,,,,,,,,,,,,,,
Tyrod Taylor,QB,NYJ,"$6,000,000",1,134.0,3.7,3.7,41.9,129.8,72.9,51.8,9.46,3.86,-0.05,-13.31,5.41,9.02,2.8,8.6,13.5,26.5,73
Jarrett Stidham,QB,DEN,"$6,000,000",,,,,,,,,,,,,,,,,,,
Noah Gray,TE,KC,"$6,000,000",,,,,,,,,,,,,,,,,,,
Zach Wilson,QB,MIA,"$6,000,000",nan,9.0,0.0,0.0,44.4,10.7,72.5,19.0,0.0,3.56,-0.45,-5.16,-0.24,7.22,2.24,5.9,22.2,0,66.7
John Simpson,LG,NYJ,"$6,000,000",,,,,,,,,,,,,,,,,,,
James Hudson,RT,NYG,"$6,000,000",,,,,,,,,,,,,,,,,,,
Ethan Pocic,C,CLE,"$6,000,000",,,,,,,,,,,,,,,,,,,
Jaylen Warren,RB,PIT,"$5,952,000",,,,,,,,,,,,,,,,,,,
Jauan Jennings,WR,SF,"$5,945,000",,,,,,,,,,,,,,,,,,,
Evan Brown,LG,ARI,"$5,750,000",,,,,,,,,,,,,,,,,,,
Michael Penix Jr.,QB,ATL,"$5,720,659",,,,,,,,,,,,,,,,,,,
Rome Odunze,WR,CHI,"$5,681,125",,,,,,,,,,,,,,,,,,,
Tyler Booker,LG,DAL,"$5,638,430",,,,,,,,,,,,,,,,,,,
Alex Cappa,RG,LV,"$5,510,000",,,,,,,,,,,,,,,,,,,
Devin Singletary,RB,NYG,"$5,500,000",,,,,,,,,,,,,,,,,,,
Bijan Robinson,RB,ATL,"$5,489,636",,,,,,,,,,,,,,,,,,,
J.J. McCarthy,QB,MIN,"$5,463,699",4,206.0,5.3,5.3,40.4,167.8,72.1,34.7,10.43,4.1,,,,,,9.1,20.7,27,66.4
Drake London,WR,ATL,"$5,383,618",,,,,,,,,,,,,,,,,,,
Charles Cross,LT,SEA,"$5,345,907",,,,,,,,,,,,,,,,,,,
Nick Allegretti,LG,WAS,"$5,333,333",,,,,,,,,,,,,,,,,,,
Luke Farrell,TE,SF,"$5,250,000",,,,,,,,,,,,,,,,,,,
Najee Harris,RB,LAC,"$5,250,000",,,,,,,,,,,,,,,,,,,
Tommy Tremble,TE,CAR,"$5,250,000",,,,,,,,,,,,,,,,,,,
Jordan Mason,RB,MIN,"$5,250,000",,,,,,,,,,,,,,,,,,,
Darnell Wright,RT,CHI,"$5,242,068",,,,,,,,,,,,,,,,,,,
Tyler Warren,TE,IND,"$5,240,163",,,,,,,,,,,,,,,,11,,100,
Olu Fashanu,LT,NYJ,"$5,127,678",,,,,,,,,,,,,,,,,,,
Tyson Bagent,QB,CHI,"$5,000,000",nan,4.0,0.0,0.0,50.0,15.7,113.5,10.4,0.0,11.75,0.32,2.31,-0.37,7.5,3.04,7.5,25,20,75
Adam Thielen,WR,PIT,"$5,000,000",,,,,,,,,,,,,,,,,,,
Ted Karras,C,CIN,"$5,000,000",,,,,,,,,,,,,,,,,,,
Austin Hooper,TE,NE,"$5,000,000",,,,,,,,,,,,,,,,,,,
DeAndre Hopkins,WR,BAL,"$5,000,000",,,,,,,,,,,,,,,,,,,
Peter Skoronski,LG,TEN,"$4,918,330",,,,,,,,,,,,,,,,,,,
Chris Olave,WR,NO,"$4,817,968",,,,,,,,,,,,,,,,4,0,0,100
Garrett Bradbury,C,NE,"$4,750,000",,,,,,,,,,,,,,,,,,,
Ryan Neuzil,C,ATL,"$4,750,000",,,,,,,,,,,,,,,,,,,
Will Dissly,TE,LAC,"$4,666,666",,,,,,,,,,,,,,,,,,,
Bo Nix,QB,DEN,"$4,653,292",12,504.0,4.6,1.8,46.2,232.6,89.7,59.1,3.08,6.2,0.09,58.05,-0.13,8.15,2.73,7.7,15.8,18.4,77.9
Grey Zabel,LT,SEA,"$4,617,865",,,,,,,,,,,,,,,,,,,
Emeka Egbuka,WR,TB,"$4,543,183",,,,,,,,,,,,,,,,,,,
Brock Bowers,TE,LV,"$4,534,696",,,,,,,,,,,,,,,,,,,
Kavontae Turpin,WR,DAL,"$4,500,000",,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,RB,DET,"$4,461,285",,,,,,,,,,,,,,,,,,,
Omarion Hampton,RB,LAC,"$4,443,616",,,,,,,,,,,,,,,,,,,
Matthew Golden,WR,GB,"$4,393,835",,,,,,,,,,,,,,,,,,,
Taliese Fuaga,LT,NO,"$4,337,040",,,,,,,,,,,,,,,,,,,
Donovan Jackson,LT,MIN,"$4,294,264",,,,,,,,,,,,,,,,,,,
